[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| MARUTI YUVAKA MANDAL HANAMASAGAR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| PURNANAND YUVAKA MANDAL SOMANAKOPPA
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| L.B. NAYAKAR KHANAPUR S,K.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S. KAKANUR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| GRAMA MANDALA CHIMMANAKATTI
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| NEERU BALAKEDARAR SAHAKARI SANGHA HAGANUR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S. TALAKAWAD
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| GRAM MANDAL NEELGUND
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| GRAM MANDAL LAKHAMAPUR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| IRAPP. K.BIRANUR BIRANUR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| MARUTESHWAR YUVAKA MANDAL ALUR S.K.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| BASAVESHWAR YUVAK MANDAL TIMMAPUR S.N.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| VEERABHADHRESHWARA Y M MALLAPUR S.L.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| Kalasa (Govonakopp) Milk producers Co op Society
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| YUVAKA MANDAL ALADAKATTI
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| PKPS Hebballi
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S. MUTTALAGERI
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| MARUTESHWAR TARUN SANGHA NAVILAHOLE.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| BASAVALINGESHWAR Y M BACHINAGUDDA.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| GRAM MANDAL GONAL
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S.CHOLACHAGUDDA
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| BANASHANKARI DEVASTHANA SEVA SAMITI BANASHANKARI.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| REVANASHIDDESHWAR YUVAKA SANGHA HIRENASIBI
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| AMBEDAKAR VIDYA VARDHAKA SANGHA BELUR
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S.JALIHAL
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| Halu Utpadakara sahakari sangha,Pattadakal
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| GRAM MANDAL ADAGAL.
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| V.S.S.KUTAKANAKERI
[2026-01-30 11:45:16] User -> FPS Edit -> admin@pds| Yavatmal yass
[2026-01-30 11:45:40] User -> Model FPS In-Active -> admin@pds| Bagalkote
[2026-01-30 11:45:49] User -> Model FPS In-Active -> admin@pds| Bagalkote
[2026-01-30 11:46:03] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2026-01-30 11:52:38] User -> FPS added ->admin@pds| Requested JSON -> {"name":"Yavatmal yass","type":"Model FPS","latitude":"74","longitude":"25","district":"Bagalkote","taluka":"akki","id":"admin@pds","demand":"677","demand_rice":"5566","inventory_millets":"1000"}
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Gram Mandal Maninagar
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MAHAKUTESHWAR YUVAKA MANDAL YANKANCHI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| L.B. NAIKAR. KHANAPUR.S.K. 68 (C)(RADDERTIMMAPUR)
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL HAVALAKOD
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MARUTI YUVAKA MANDAL FAKIRBUDIHAL
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL SAGANUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL CHINCHALAKATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| K.K.LAMANI CHINCHALAKATTI L.T.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| RAIT SANGHA HANAMANERI (S)
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S. NEERBUDIHAL
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAMA MANDAL GANGANABUDIHAL
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| S.M.GONNAGAR JANGAWAD
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDALA HOSAKOTI-37 (C)(KAINAKATTI)
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Y.S.NARASANVAR SHIPARMATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL HOSAKOTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAMA MANDAL MATTIKATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| SHIVANAND YUVAKA MANDAL MALAGI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| SHRADDANAND YUVAKA MANDAL NARENUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| KRISHNA YUVAKA MANDAL NARENUR L.T.2
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Ranganath Hanamappa Sunagad (PH) Inam Hanamaneri
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| PKPS Anawal
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAMA MANDAL KALABANDKERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL YANDIGERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.KAGALGOMBA
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.KERAKALMATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| PKPS Halakurki
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.HULAGERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| BASAVESHWARA YUVAKA MANDAL JALAGERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Manjunatha Shivappa Rathod (PH)
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Secretory Neeralkeri Milk producers Co-Op Society Ltd.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| P.K.P.S.MUSTIGERI.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MARUTI YUVAKA MANDALA HULLIKERI INAM
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YOUTH ASSOCIATION MUMARADDIKOPPA
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| P.K.P.S. UGLVAT
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| PURNANANDA YUVAKA MANDAL KALLAPUR.S.K.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| KALIKADEVI YUVAK MANDALA TAPPASAKATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MARUTI YUVAKA MANDAL HANAMASAGAR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| PURNANAND YUVAKA MANDAL SOMANAKOPPA
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| L.B. NAYAKAR KHANAPUR S,K.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S. KAKANUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAMA MANDALA CHIMMANAKATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| NEERU BALAKEDARAR SAHAKARI SANGHA HAGANUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S. TALAKAWAD
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAM MANDAL NEELGUND
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAM MANDAL LAKHAMAPUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| IRAPP. K.BIRANUR BIRANUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MARUTESHWAR YUVAKA MANDAL ALUR S.K.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| BASAVESHWAR YUVAK MANDAL TIMMAPUR S.N.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| VEERABHADHRESHWARA Y M MALLAPUR S.L.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Kalasa (Govonakopp) Milk producers Co op Society
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| YUVAKA MANDAL ALADAKATTI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| PKPS Hebballi
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S. MUTTALAGERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| MARUTESHWAR TARUN SANGHA NAVILAHOLE.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| BASAVALINGESHWAR Y M BACHINAGUDDA.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAM MANDAL GONAL
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.CHOLACHAGUDDA
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| BANASHANKARI DEVASTHANA SEVA SAMITI BANASHANKARI.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| REVANASHIDDESHWAR YUVAKA SANGHA HIRENASIBI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| AMBEDAKAR VIDYA VARDHAKA SANGHA BELUR
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.JALIHAL
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Halu Utpadakara sahakari sangha,Pattadakal
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| GRAM MANDAL ADAGAL.
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| V.S.S.KUTAKANAKERI
[2026-01-30 11:52:50] User -> FPS Added -> admin@pds| Yavatmal yass
[2026-01-30 11:55:50] User -> Warehouse Active -> admin@pds| ILAKAL
[2026-01-30 11:55:51] User -> Warehouse Active -> admin@pds| MUDHOL
[2026-01-30 11:56:03] User -> Warehouse Edit ->admin@pds| Requested JSON -> {"name":"MUDHOL","taluka":"akki","uniqueid":"WH_697c46fd4fa7","active":false,"type":"motorable","latitude":"16.355331","storage":"20000","district":"Bagalkote","id":"7","warehousetype":"swc","millets":"3333","longitude":"75.276515"}
[2026-01-30 12:23:28] User -> Warehouse Active -> admin@pds| Badami
[2026-01-30 12:23:29] User -> Warehouse Active -> admin@pds| BAGALKOT
[2026-01-30 12:23:30] User -> Warehouse Active -> admin@pds| BILAGI
[2026-01-30 12:23:31] User -> Warehouse Active -> admin@pds| BILAGI
[2026-01-30 12:23:31] User -> Warehouse Active -> admin@pds| HUNGUND
[2026-01-30 12:23:32] User -> Warehouse Active -> admin@pds| JAMKHANDI
[2026-01-30 12:23:33] User -> Warehouse InActive -> admin@pds| Mudhol
[2026-01-30 12:23:35] User -> Warehouse Active -> admin@pds| Mudhol
[2026-01-30 12:24:04] User -> Warehouse added ->admin@pds| Requested JSON -> {"name":"Akshay","taluka":"akki","type":"motorable","latitude":"11","storage":"12","district":"Bagalkote","id":"69","warehousetype":"swc","millets":"56454","longitude":"11"}
